,geotype,spectrum_limitations,id,aantal,NUMPOINTS,Shape_Area,pop_density_km2,Shape_Area_km2,Scenario,Strategy,Macro.cell.site.density,Small.cell.site.density,Existing.capacity,Spectrum.capacity,Small.cells.capacity,Capacity.surplus,Cost.per.km2,RAN.macro,RAN.small.cells,Backhaul.macro,Civil.works.macro,Civil.works.small,Cost
21,Rural 1,all_spectrum,4531,2445,0,3626444,674.214,3.6,Scenario 2 (100 Mbps),Small Cells,0.0,3.978873577,61.2,0.0,644.688,1976.306664,55227.75997,0.0,8907.703221,0.0,0.0,46320.05675,198819.9359
22,Rural 1,all_spectrum,4531,2445,0,3626444,674.214,3.6,Scenario 1 (30 Mbps),Small Cells,0.0,3.978873577,61.2,0.0,150.5664,3755.144423,55227.75997,0.0,8907.703221,0.0,0.0,46320.05675,198819.9359
23,Rural 1,all_spectrum,4531,2445,0,3626444,674.214,3.6,Scenario 3 (300 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-7321.299264,26621.424,20317.104,0.0,1146.24,5158.08,0.0,95837.1264
24,Rural 1,all_spectrum,4531,2445,0,3626444,674.214,3.6,Scenario 1 (30 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-460.067904,26621.424,20317.104,0.0,1146.24,5158.08,0.0,95837.1264
25,Rural 1,all_spectrum,4531,2445,0,3626444,674.214,3.6,Scenario 3 (300 Mbps),Hybrid,0.32,6.7789808,61.2,22.76976,2033.69424,0.0,120715.3722,20317.104,15176.44327,1146.24,5158.08,78917.50498,434575.3401
26,Rural 1,all_spectrum,4531,2445,0,3626444,674.214,3.6,Scenario 3 (300 Mbps),Small Cells,0.0,6.85488,61.2,0.0,2056.464,0.0,95147.44812,0.0,15346.3626,0.0,0.0,79801.08552,342530.8132
27,Rural 1,all_spectrum,3601,6820,3,4822065,1414.332,4.8,Scenario 2 (100 Mbps),Hybrid,0.32,3.978873577,61.2,22.76976,621.91824,2744.370399,81849.18397,20317.104,8907.703221,1146.24,5158.08,46320.05675,392876.0831
28,Rural 1,all_spectrum,3601,6820,3,4822065,1414.332,4.8,Scenario 1 (30 Mbps),Hybrid,0.32,3.978873577,61.2,22.76976,127.79664,5116.154078,81849.18397,20317.104,8907.703221,1146.24,5158.08,46320.05675,392876.0831
29,Rural 1,all_spectrum,3601,6820,3,4822065,1414.332,4.8,Scenario 2 (100 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-2985.207552,26621.424,20317.104,0.0,1146.24,5158.08,0.0,127782.8352
30,Rural 1,all_spectrum,3601,6820,3,4822065,1414.332,4.8,Scenario 2 (100 Mbps),Small Cells,0.0,3.978873577,61.2,0.0,644.688,2635.075551,55227.75997,0.0,8907.703221,0.0,0.0,46320.05675,265093.2479
31,Rural 1,all_spectrum,3601,6820,3,4822065,1414.332,4.8,Scenario 1 (30 Mbps),Small Cells,0.0,3.978873577,61.2,0.0,150.5664,5006.85923,55227.75997,0.0,8907.703221,0.0,0.0,46320.05675,265093.2479
32,Rural 1,all_spectrum,3601,6820,3,4822065,1414.332,4.8,Scenario 3 (300 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-9761.732352,26621.424,20317.104,0.0,1146.24,5158.08,0.0,127782.8352
33,Rural 1,all_spectrum,3601,6820,3,4822065,1414.332,4.8,Scenario 1 (30 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-613.423872,26621.424,20317.104,0.0,1146.24,5158.08,0.0,127782.8352
34,Rural 1,all_spectrum,3601,6820,3,4822065,1414.332,4.8,Scenario 3 (300 Mbps),Hybrid,0.32,6.7789808,61.2,22.76976,2033.69424,0.0,120715.3722,20317.104,15176.44327,1146.24,5158.08,78917.50498,579433.7868
35,Rural 1,all_spectrum,3601,6820,3,4822065,1414.332,4.8,Scenario 3 (300 Mbps),Small Cells,0.0,6.85488,61.2,0.0,2056.464,0.0,95147.44812,0.0,15346.3626,0.0,0.0,79801.08552,456707.751
36,Rural 1,all_spectrum,3372,4550,2,6714575,677.63,6.7,Scenario 2 (100 Mbps),Hybrid,0.32,3.978873577,61.2,22.76976,621.91824,3830.683682,81849.18397,20317.104,8907.703221,1146.24,5158.08,46320.05675,548389.5326
37,Rural 1,all_spectrum,3372,4550,2,6714575,677.63,6.7,Scenario 1 (30 Mbps),Hybrid,0.32,3.978873577,61.2,22.76976,127.79664,7141.298401,81849.18397,20317.104,8907.703221,1146.24,5158.08,46320.05675,548389.5326
38,Rural 1,all_spectrum,3372,4550,2,6714575,677.63,6.7,Scenario 2 (100 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-4166.852208,26621.424,20317.104,0.0,1146.24,5158.08,0.0,178363.5408
39,Rural 1,all_spectrum,3372,4550,2,6714575,677.63,6.7,Scenario 2 (100 Mbps),Small Cells,0.0,3.978873577,61.2,0.0,644.688,3678.12629,55227.75997,0.0,8907.703221,0.0,0.0,46320.05675,370025.9918
40,Rural 1,all_spectrum,3372,4550,2,6714575,677.63,6.7,Scenario 1 (30 Mbps),Small Cells,0.0,3.978873577,61.2,0.0,150.5664,6988.741009,55227.75997,0.0,8907.703221,0.0,0.0,46320.05675,370025.9918
41,Rural 1,all_spectrum,3372,4550,2,6714575,677.63,6.7,Scenario 3 (300 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-13625.75141,26621.424,20317.104,0.0,1146.24,5158.08,0.0,178363.5408
42,Rural 1,all_spectrum,3372,4550,2,6714575,677.63,6.7,Scenario 1 (30 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-856.237488,26621.424,20317.104,0.0,1146.24,5158.08,0.0,178363.5408
43,Rural 1,all_spectrum,3372,4550,2,6714575,677.63,6.7,Scenario 3 (300 Mbps),Hybrid,0.32,6.7789808,61.2,22.76976,2033.69424,0.0,120715.3722,20317.104,15176.44327,1146.24,5158.08,78917.50498,808792.9941
44,Rural 1,all_spectrum,3372,4550,2,6714575,677.63,6.7,Scenario 3 (300 Mbps),Small Cells,0.0,6.85488,61.2,0.0,2056.464,0.0,95147.44812,0.0,15346.3626,0.0,0.0,79801.08552,637487.9024
45,Rural 1,all_spectrum,2841,8240,3,12157738,677.758,12.2,Scenario 2 (100 Mbps),Hybrid,0.32,3.978873577,61.2,22.76976,621.91824,6975.274765,81849.18397,20317.104,8907.703221,1146.24,5158.08,46320.05675,998560.0445
46,Rural 1,all_spectrum,2841,8240,3,12157738,677.758,12.2,Scenario 1 (30 Mbps),Hybrid,0.32,3.978873577,61.2,22.76976,127.79664,13003.55828,81849.18397,20317.104,8907.703221,1146.24,5158.08,46320.05675,998560.0445
47,Rural 1,all_spectrum,2841,8240,3,12157738,677.758,12.2,Scenario 2 (100 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-7587.402528,26621.424,20317.104,0.0,1146.24,5158.08,0.0,324781.3728
48,Rural 1,all_spectrum,2841,8240,3,12157738,677.758,12.2,Scenario 2 (100 Mbps),Small Cells,0.0,3.978873577,61.2,0.0,644.688,6697.483693,55227.75997,0.0,8907.703221,0.0,0.0,46320.05675,673778.6717
49,Rural 1,all_spectrum,2841,8240,3,12157738,677.758,12.2,Scenario 1 (30 Mbps),Small Cells,0.0,3.978873577,61.2,0.0,150.5664,12725.76721,55227.75997,0.0,8907.703221,0.0,0.0,46320.05675,673778.6717
50,Rural 1,all_spectrum,2841,8240,3,12157738,677.758,12.2,Scenario 3 (300 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-24811.06973,26621.424,20317.104,0.0,1146.24,5158.08,0.0,324781.3728
51,Rural 1,all_spectrum,2841,8240,3,12157738,677.758,12.2,Scenario 1 (30 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-1559.119008,26621.424,20317.104,0.0,1146.24,5158.08,0.0,324781.3728
52,Rural 1,all_spectrum,2841,8240,3,12157738,677.758,12.2,Scenario 3 (300 Mbps),Hybrid,0.32,6.7789808,61.2,22.76976,2033.69424,0.0,120715.3722,20317.104,15176.44327,1146.24,5158.08,78917.50498,1472727.541
53,Rural 1,all_spectrum,2841,8240,3,12157738,677.758,12.2,Scenario 3 (300 Mbps),Small Cells,0.0,6.85488,61.2,0.0,2056.464,0.0,95147.44812,0.0,15346.3626,0.0,0.0,79801.08552,1160798.867
54,Rural 1,all_spectrum,5926,2720,2,4012793,677.832,4.0,Scenario 2 (100 Mbps),Hybrid,0.32,3.978873577,61.2,22.76976,621.91824,2286.975333,81849.18397,20317.104,8907.703221,1146.24,5158.08,46320.05675,327396.7359
55,Rural 1,all_spectrum,5926,2720,2,4012793,677.832,4.0,Scenario 1 (30 Mbps),Hybrid,0.32,3.978873577,61.2,22.76976,127.79664,4263.461732,81849.18397,20317.104,8907.703221,1146.24,5158.08,46320.05675,327396.7359
56,Rural 1,all_spectrum,5926,2720,2,4012793,677.832,4.0,Scenario 2 (100 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-2487.67296,26621.424,20317.104,0.0,1146.24,5158.08,0.0,106485.696
